,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,sample,label
0,-0.1145080029964447,-0.0347759984433651,0.1838600039482116,-0.0424874983727932,0.0635249987244606,-0.0030249999836087,0,3
1,-0.1567140072584152,-0.0119249997660517,0.2718259990215301,-0.0339624993503093,0.058712501078844,0.0104499999433755,0,3
2,-0.1137500032782554,-0.0394829995930194,0.2880440056324005,-0.0144375003874301,0.0354750007390975,0.0237875003367662,0,3
3,0.031904999166727,-0.0432269982993602,0.2269559949636459,0.010037500411272,0.0024749999865889,0.0262624993920326,0,3
4,0.0793880000710487,-0.0246149990707635,0.1590899974107742,0.0320375002920627,-0.0354750007390975,0.014024999924004,0,3
5,0.1580269932746887,-0.0437650009989738,-0.0500460006296634,0.0455125011503696,-0.0672374963760376,-0.0030249999836087,0,3
6,0.2159090042114257,-0.0360880009829998,-0.1094050034880638,0.0332750007510185,-0.1002374961972236,-0.0262624993920326,0,3
7,0.1013329997658729,0.0345389991998672,-0.165034994482994,0.0125124994665384,-0.1099999994039535,-0.0518375001847744,0,3
8,-0.0343919992446899,-0.0044329999946057,-0.3897939920425415,-0.0057749999687075,-0.0439999997615814,-0.0470249988138675,0,3
9,-0.1874980032444,0.0440870001912117,-0.4507730007171631,-0.0449624992907047,0.0402874983847141,-0.0262624993920326,0,3
10,-0.2565720081329345,0.1021789982914924,-0.2445490062236786,-0.0912999957799911,0.0867625027894973,0.0017874999903142,0,3
11,-0.1997089982032776,0.0084260003641247,0.0643730014562606,-0.1097249984741211,0.0867625027894973,0.0250249989330768,0,3
12,-0.1450749933719635,-0.0674130022525787,0.372530996799469,-0.0827749967575073,0.0525249987840652,0.0347874984145164,0,3
13,-0.1063710004091262,-0.0716490000486373,0.542589008808136,-0.0241999998688697,-0.0085249999538064,0.0336874984204769,0,3
14,0.050330001860857,-0.0990199968218803,0.2639670073986053,0.0405624993145465,-0.053762499243021,0.0299750007688999,0,3
15,0.1787160038948059,-0.1217620000243187,-0.1400559991598129,0.0650374963879585,-0.0672374963760376,0.014024999924004,0,3
